community	mainIncomeCommunity	populationSize	locality	sessionID	female	socialFirst	sequencePosition	asocialYes	socialYes	yes	propYes	lagOnePropYes	socialTmt	agricultureComm	eastGezira	numInSession	numFemalesInSession	propFemalesInSession	uniqueSubjectID
112	agriculture	2884	EastGezira	6	1	0	6	1	0	1	0.5	0.4	0	1	1	10	10	1	52
112	agriculture	2884	EastGezira	6	1	0	7	0	0	0	0.428571428571429	0.5	0	1	1	10	10	1	53
112	agriculture	2884	EastGezira	6	1	0	8	1	0	1	0.5	0.428571428571429	0	1	1	10	10	1	54
112	agriculture	2884	EastGezira	6	1	0	9	0	0	0	0.444444444444444	0.5	0	1	1	10	10	1	55
112	agriculture	2884	EastGezira	6	1	0	10	1	0	1	0.5	0.444444444444444	0	1	1	10	10	1	56
136	livestockTrade	456	EastGezira	7	1	0	1	1	1	1	1	NA	0	0	1	10	10	1	57
136	livestockTrade	456	EastGezira	7	1	0	2	1	1	1	1	1	0	0	1	10	10	1	58
136	livestockTrade	456	EastGezira	7	1	0	3	1	1	1	1	1	0	0	1	10	10	1	59
136	livestockTrade	456	EastGezira	7	1	0	4	0	1	0	0.75	1	0	0	1	10	10	1	60
136	livestockTrade	456	EastGezira	7	1	0	5	1	1	1	0.8	0.75	0	0	1	10	10	1	61
136	livestockTrade	456	EastGezira	7	1	0	6	0	1	0	0.666666666666667	0.8	0	0	1	10	10	1	62
136	livestockTrade	456	EastGezira	7	1	0	7	1	1	1	0.714285714285714	0.666666666666667	0	0	1	10	10	1	63
136	livestockTrade	456	EastGezira	7	1	0	8	0	1	0	0.625	0.714285714285714	0	0	1	10	10	1	64
136	livestockTrade	456	EastGezira	7	1	0	9	1	1	1	0.666666666666667	0.625	0	0	1	10	10	1	65
136	livestockTrade	456	EastGezira	7	1	0	10	0	1	0	0.6	0.666666666666667	0	0	1	10	10	1	66
136	livestockTrade	456	EastGezira	8	0	1	1	0	0	0	0	NA	0	0	1	10	0	0	67
136	livestockTrade	456	EastGezira	8	0	1	2	1	1	1	0.5	0	0	0	1	10	0	0	68
136	livestockTrade	456	EastGezira	8	0	1	3	0	0	0	0.333333333333333	0.5	0	0	1	10	0	0	69
136	livestockTrade	456	EastGezira	8	0	1	4	0	0	0	0.25	0.333333333333333	0	0	1	10	0	0	70
136	livestockTrade	456	EastGezira	8	0	1	5	1	1	1	0.4	0.25	0	0	1	10	0	0	71
136	livestockTrade	456	EastGezira	8	0	1	6	0	0	0	0.333333333333333	0.4	0	0	1	10	0	0	72
136	livestockTrade	456	EastGezira	8	0	1	7	1	1	1	0.428571428571429	0.333333333333333	0	0	1	10	0	0	73
136	livestockTrade	456	EastGezira	8	0	1	8	0	0	0	0.375	0.428571428571429	0	0	1	10	0	0	74
136	livestockTrade	456	EastGezira	8	0	1	9	0	0	0	0.333333333333333	0.375	0	0	1	10	0	0	75
136	livestockTrade	456	EastGezira	8	0	1	10	1	1	1	0.4	0.333333333333333	0	0	1	10	0	0	76
136	livestockTrade	456	EastGezira	9	1	1	1	1	1	1	1	NA	0	0	1	10	10	1	77
136	livestockTrade	456	EastGezira	9	1	1	2	1	1	1	1	1	0	0	1	10	10	1	78
136	livestockTrade	456	EastGezira	9	1	1	3	1	1	1	1	1	0	0	1	10	10	1	79
136	livestockTrade	456	EastGezira	9	1	1	4	1	1	1	1	1	0	0	1	10	10	1	80
136	livestockTrade	456	EastGezira	9	1	1	5	1	1	1	1	1	0	0	1	10	10	1	81
136	livestockTrade	456	EastGezira	9	1	1	6	1	1	1	1	1	0	0	1	10	10	1	82
136	livestockTrade	456	EastGezira	9	1	1	7	1	1	1	1	1	0	0	1	10	10	1	83
136	livestockTrade	456	EastGezira	9	1	1	8	1	1	1	1	1	0	0	1	10	10	1	84
136	livestockTrade	456	EastGezira	9	1	1	9	1	1	1	1	1	0	0	1	10	10	1	85
136	livestockTrade	456	EastGezira	9	1	1	10	1	1	1	1	1	0	0	1	10	10	1	86
136	livestockTrade	456	EastGezira	10	0	0	1	1	1	1	1	NA	0	0	1	4	0	0	87
136	livestockTrade	456	EastGezira	10	0	0	2	0	1	0	0.5	1	0	0	1	4	0	0	88
136	livestockTrade	456	EastGezira	10	0	0	3	1	0	1	0.666666666666667	0.5	0	0	1	4	0	0	89
136	livestockTrade	456	EastGezira	10	0	0	4	1	1	1	0.75	0.666666666666667	0	0	1	4	0	0	90
136	livestockTrade	456	EastGezira	11	1	0	1	1	1	1	1	NA	0	0	1	6	6	1	91
136	livestockTrade	456	EastGezira	11	1	0	2	1	1	1	1	1	0	0	1	6	6	1	92
136	livestockTrade	456	EastGezira	11	1	0	3	0	1	0	0.666666666666667	1	0	0	1	6	6	1	93
136	livestockTrade	456	EastGezira	11	1	0	4	1	1	1	0.75	0.666666666666667	0	0	1	6	6	1	94
136	livestockTrade	456	EastGezira	11	1	0	5	1	1	1	0.8	0.75	0	0	1	6	6	1	95
136	livestockTrade	456	EastGezira	11	1	0	6	0	1	0	0.666666666666667	0.8	0	0	1	6	6	1	96
136	livestockTrade	456	EastGezira	12	0	1	1	0	1	0	0	NA	0	0	1	8	0	0	97
136	livestockTrade	456	EastGezira	12	0	1	2	0	1	0	0	0	0	0	1	8	0	0	98
136	livestockTrade	456	EastGezira	12	0	1	3	1	1	1	0.333333333333333	0	0	0	1	8	0	0	99
136	livestockTrade	456	EastGezira	12	0	1	4	1	1	1	0.5	0.333333333333333	0	0	1	8	0	0	100
136	livestockTrade	456	EastGezira	12	0	1	5	1	1	1	0.6	0.5	0	0	1	8	0	0	101
136	livestockTrade	456	EastGezira	12	0	1	6	1	1	1	0.666666666666667	0.6	0	0	1	8	0	0	102
136	livestockTrade	456	EastGezira	12	0	1	7	1	1	1	0.714285714285714	0.666666666666667	0	0	1	8	0	0	103
136	livestockTrade	456	EastGezira	12	0	1	8	0	0	0	0.625	0.714285714285714	0	0	1	8	0	0	104
136	livestockTrade	456	EastGezira	13	0	0	1	0	0	0	0	NA	0	0	1	4	0	0	105
136	livestockTrade	456	EastGezira	13	0	0	2	0	1	0	0	0	0	0	1	4	0	0	106
136	livestockTrade	456	EastGezira	13	0	0	3	1	0	1	0.333333333333333	0	0	0	1	4	0	0	107
136	livestockTrade	456	EastGezira	13	0	0	4	1	1	1	0.5	0.333333333333333	0	0	1	4	0	0	108
52	agriculture	6451	EastGezira	14	0	0	1	0	0	0	0	NA	0	1	1	10	0	0	109
52	agriculture	6451	EastGezira	14	0	0	2	0	0	0	0	0	0	1	1	10	0	0	110
52	agriculture	6451	EastGezira	14	0	0	3	1	0	1	0.333333333333333	0	0	1	1	10	0	0	111
52	agriculture	6451	EastGezira	14	0	0	4	0	0	0	0.25	0.333333333333333	0	1	1	10	0	0	112
52	agriculture	6451	EastGezira	14	0	0	5	0	0	0	0.2	0.25	0	1	1	10	0	0	113
52	agriculture	6451	EastGezira	14	0	0	6	0	0	0	0.166666666666667	0.2	0	1	1	10	0	0	114
